what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_GB",1436254551632
processors,sysinfo,,,"4",1436254551632
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1436254551632
java.runtime.version,sysinfo,,,"1.7.0_71-b14",1436254551632
java.specification.name,sysinfo,,,"Java Platform API Specification",1436254551632
java.specification.vendor,sysinfo,,,"Oracle Corporation",1436254551632
java.specification.version,sysinfo,,,"1.7",1436254551632
java.vendor,sysinfo,,,"Oracle Corporation",1436254551632
java.version,sysinfo,,,"1.7.0_71",1436254551632
java.vm.info,sysinfo,,,"mixed mode",1436254551632
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1436254551632
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1436254551632
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1436254551632
java.vm.specification.version,sysinfo,,,"1.7",1436254551632
java.vm.vendor,sysinfo,,,"Oracle Corporation",1436254551632
java.vm.version,sysinfo,,,"24.71-b01",1436254551632
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1436254551665
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1436254551677
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1436254551779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254552743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254553724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254554923
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254555064
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1436254556040
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1436254556041
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1436254556043
