what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1436254363567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254368170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254368186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254369800
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1436254373330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254373629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254373715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254377045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254383147
executed,command,org.tigris.subversion.subclipse.ui,1.10.9,"org.tigris.subversion.subclipse.ui.commit",1436254383160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254383801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1436254395409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254396187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254396203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254396635
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1436254405282
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1436254405979
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1436254406760
closed,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1436254406763
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1436254409286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254412322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254415261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254416280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254416376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254417167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254417257
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254419016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254516856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254518477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254518577
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1436254520713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254524426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254525337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254525667
error,log,,,"Publishing failed with multiple errors",1436254526209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254527689
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1436254528842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254530292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254531171
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436254531285
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1436254532203
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1436254532205
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1436254532206
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1436254532208
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1436254532209
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1436254532235
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1436254532255
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1436254532255
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1436254532257
